timestamp,bid,ask,imbalance,quoted_spread,bid_q,ask_q,inventory,pnl,pnl_base
1767079165220077081,9905,9930,0.7777777777777778,9930,0,9930,5,107.5,0.0
1767079166208979508,9900,9915,0.8490566037735849,9915,0,9915,5,57.5,0.0
1767079167220552877,9900,9925,0.44,9920,0,9920,5,82.5,0.0
1767079168221414444,9900,9915,0.4090909090909091,9910,0,9910,5,57.5,0.0
1767079169220081796,9915,9930,0.75,9930,0,9930,5,132.5,0.0
1767079170223571077,9915,9925,0.8571428571428571,9925,0,9925,5,120.0,0.0
1767079171215335648,9900,9930,0.6190476190476191,9925,0,9925,5,95.0,0.0
1767079172224476604,9920,9940,-0.9166666666666666,9920,0,9920,4,160.0,0.0
1767079173211377819,9915,9925,-0.3333333333333333,10,9915,9925,4,120.0,0.0
1767079175223848776,9915,9940,-0.19148936170212766,5,9925,9930,4,150.0,0.0
1767079176216912043,9915,9930,0.7857142857142857,0,9930,9930,5,122.5,0.0
1767079177223780938,9890,9910,0.6923076923076923,9910,0,9910,5,10.0,0.0
1767079179219888820,9900,9925,0.7142857142857143,9920,0,9920,5,72.5,0.0
1767079180190907919,9930,9945,0.06382978723404255,9940,0,9940,5,197.5,0.0
1767079181220676693,9930,9945,0.0,9940,0,9940,5,197.5,0.0
1767079182173576721,9935,9945,-0.6666666666666666,9935,0,9935,4,205.0,0.0
1767079183181483239,9940,9965,0.8378378378378378,0,9965,9965,5,242.5,0.0
1767079184224065870,9910,9915,0.5555555555555556,9915,0,9915,5,42.5,0.0
1767079185223337591,9925,9940,-0.5555555555555556,9935,0,9935,5,142.5,0.0
1767079186222835135,9915,9935,0.7777777777777778,9935,0,9935,5,105.0,0.0
1767079187222529570,9930,9950,-0.6923076923076923,9930,0,9930,4,170.0,0.0
1767079188223033180,9930,9950,0.0,5,9935,9940,4,170.0,0.0
1767079189220222116,9915,9935,0.38461538461538464,10,9920,9930,4,110.0,0.0
1767079190223849942,9915,9940,-0.1282051282051282,5,9925,9930,4,120.0,0.0
1767079191224031695,9920,9945,0.7037037037037037,-5,9945,9940,5,127.5,0.0
1767079192221122139,9915,9940,-0.2,9930,0,9930,5,102.5,0.0
1767079193222601450,9940,9965,0.09090909090909091,9955,0,9955,5,227.5,0.0
1767079194223793030,9945,9970,0.21739130434782608,9960,0,9960,5,252.5,0.0
1767079195222225655,9955,9975,0.2727272727272727,9970,0,9970,5,290.0,0.0
1767079196211658460,9935,9945,-0.5555555555555556,9945,0,9945,5,165.0,0.0
1767079197220708584,9930,9945,0.4,9940,0,9940,5,152.5,0.0
1767079199222574154,9935,9950,-0.8888888888888888,9935,0,9935,4,170.0,0.0
1767079200215086658,9905,9930,-0.5238095238095238,10,9910,9920,4,70.0,0.0
1767079201220596659,9885,9915,0.3684210526315789,10,9895,9905,4,0.0,0.0
1767079202224133173,9880,9905,0.29411764705882354,5,9890,9895,4,-30.0,0.0
1767079203213297138,9900,9920,0.8048780487804879,0,9920,9920,5,30.0,0.0
1767079204214243224,9905,9910,0.6666666666666666,9910,0,9910,5,17.5,0.0
1767079205219590574,9885,9910,-0.4074074074074074,9900,0,9900,5,-32.5,0.0
1767079206201059051,9920,9945,0.6296296296296297,9940,0,9940,5,142.5,0.0
1767079208205627807,9925,9950,0.1,9940,0,9940,5,167.5,0.0
1767079209224316648,9940,9965,-0.15789473684210525,9955,0,9955,5,242.5,0.0
1767079210223846066,9925,9940,0.75,9940,0,9940,5,142.5,0.0
1767079211217106477,9925,9945,-0.3333333333333333,9940,0,9940,5,155.0,0.0
1767079212221618635,9940,9955,0.0,9950,0,9950,5,217.5,0.0
1767079213223107063,9925,9945,0.4666666666666667,9940,0,9940,5,155.0,0.0
1767079214224514924,9930,9955,0.3,9950,0,9950,5,192.5,0.0
1767079215222887239,9925,9950,0.0,9940,0,9940,5,167.5,0.0
1767079216223683211,9940,9960,0.42857142857142855,9955,0,9955,5,230.0,0.0
1767079217204843906,9920,9940,0.42857142857142855,9935,0,9935,5,130.0,0.0
1767079218224131171,9920,9945,0.39285714285714285,9940,0,9940,5,142.5,0.0
1767079219223307803,9915,9925,-0.14285714285714285,9925,0,9925,5,80.0,0.0
1767079220224435109,9900,9905,-0.5384615384615384,9905,0,9905,5,-7.5,0.0
1767079221221432170,9885,9900,-0.2727272727272727,9895,0,9895,5,-57.5,0.0
1767079222222688443,9850,9870,0.3,9865,0,9865,5,-220.0,0.0
1767079223215822884,9815,9835,0.8181818181818182,9835,0,9835,5,-395.0,0.0
1767079224221735074,9815,9840,-0.4953271028037383,9830,0,9830,5,-382.5,0.0
1767079225223533175,9810,9815,-0.3333333333333333,9815,0,9815,5,-457.5,0.0
1767079227222937388,9815,9830,0.4,9825,0,9825,5,-407.5,0.0
1767079228223549579,9820,9830,-0.2,9830,0,9830,5,-395.0,0.0
1767079229216336033,9810,9835,0.17647058823529413,9825,0,9825,5,-407.5,0.0
1767079230224174372,9805,9815,0.6,9815,0,9815,5,-470.0,0.0
1767079231201501046,9790,9815,0.18518518518518517,9805,0,9805,5,-507.5,0.0
1767079232206608716,9815,9840,-0.19047619047619047,9830,0,9830,5,-382.5,0.0
1767079233191414977,9810,9830,0.8888888888888888,9830,0,9830,5,-420.0,0.0
1767079234221900695,9820,9840,-0.23076923076923078,9835,0,9835,5,-370.0,0.0
1767079235222925462,9845,9865,0.2,9860,0,9860,5,-245.0,0.0
1767079236219569871,9825,9845,0.4,9840,0,9840,5,-345.0,0.0
1767079237180113618,9815,9835,0.0,9825,0,9825,5,-395.0,0.0
1767079238204461574,9825,9840,-0.3333333333333333,9835,0,9835,5,-357.5,0.0
1767079239216300972,9830,9860,-0.5384615384615384,9850,0,9850,5,-295.0,0.0
1767079240213512826,9825,9840,0.3333333333333333,9835,0,9835,5,-357.5,0.0
1767079241221285829,9830,9855,-0.8181818181818182,9830,0,9830,4,-320.0,0.0
1767079242223373227,9825,9845,0.1111111111111111,10,9830,9840,4,-350.0,0.0
1767079243224508333,9815,9840,0.0,5,9825,9830,4,-380.0,0.0
1767079244181940335,9825,9845,-0.3333333333333333,10,9830,9840,4,-350.0,0.0
1767079245206918490,9825,9850,-0.38461538461538464,10,9830,9840,4,-340.0,0.0
1767079246217454532,9860,9875,-0.6,10,9860,9870,4,-220.0,0.0
1767079247215420703,9865,9880,0.2727272727272727,5,9870,9875,4,-200.0,0.0
1767079248220441518,9845,9870,0.2,5,9855,9860,4,-260.0,0.0
1767079249224366172,9870,9895,-0.06666666666666667,5,9880,9885,4,-160.0,0.0
1767079250210999274,9865,9880,0.5,10,9870,9880,4,-200.0,0.0
1767079251220080552,9885,9900,-0.9,0,9885,9885,3,-127.5,0.0
1767079252224141566,9910,9920,-0.6363636363636364,0,9910,9910,2,-65.0,0.0
1767079253209353020,9900,9920,-0.7777777777777778,0,9900,9900,1,-85.0,0.0
1767079254188217798,9910,9920,-0.6,10,9910,9920,1,-80.0,0.0
1767079255223804960,9910,9935,-0.45454545454545453,10,9915,9925,1,-72.5,0.0
1767079257221419429,9835,9850,-0.8260869565217391,0,9835,9835,0,-160.0,0.0
1767079258221533318,9855,9870,0.7777777777777778,0,9870,9870,1,-167.5,0.0
1767079259223746172,9855,9880,0.7647058823529411,0,9880,9880,2,-175.0,0.0
1767079260223678814,9870,9895,-0.6,10,9875,9885,2,-145.0,0.0
1767079261223109757,9840,9860,-0.3333333333333333,10,9845,9855,2,-210.0,0.0
1767079262216647504,9820,9830,-0.3333333333333333,10,9820,9830,2,-260.0,0.0
1767079263223554506,9810,9830,0.7142857142857143,0,9830,9830,3,-280.0,0.0
1767079264217882897,9815,9835,0.42857142857142855,10,9820,9830,3,-265.0,0.0
1767079265214329761,9810,9835,-0.14285714285714285,5,9820,9825,3,-272.5,0.0
1767079266222707460,9780,9790,-0.3333333333333333,10,9780,9790,3,-385.0,0.0
1767079267224014413,9815,9830,0.6,10,9820,9830,3,-272.5,0.0
1767079268220084466,9790,9800,0.5,10,9790,9800,3,-355.0,0.0
1767079269212368057,9830,9850,-0.5,10,9835,9845,3,-220.0,0.0
1767079270222946702,9840,9865,-0.2,5,9850,9855,3,-182.5,0.0
1767079271222944651,9810,9830,-0.5,10,9815,9825,3,-280.0,0.0
1767079272221460404,9810,9820,0.3333333333333333,10,9810,9820,3,-295.0,0.0
1767079273199651046,9800,9820,0.21739130434782608,10,9805,9815,3,-310.0,0.0
1767079274224464017,9805,9825,0.0,5,9810,9815,3,-295.0,0.0
1767079275221851336,9805,9820,0.45454545454545453,10,9810,9820,3,-302.5,0.0
1767079276218295997,9790,9815,-0.38461538461538464,10,9795,9805,3,-332.5,0.0
1767079278217392913,9740,9755,0.6842105263157895,0,9755,9755,4,-505.0,0.0
1767079278217392913,9740,9755,0.6842105263157895,0,9755,9755,5,-512.5,0.0
1767079280223953872,9730,9740,-0.625,9730,0,9730,4,-580.0,0.0
1767079281203814063,9730,9755,0.4074074074074074,10,9740,9750,4,-550.0,0.0
1767079282217875162,9720,9740,0.7142857142857143,0,9740,9740,5,-610.0,0.0
1767079283197605809,9745,9750,-0.9230769230769231,9745,0,9745,4,-525.0,0.0
